region,asset,listed,name,symbol,update_dttm,last_page,summary,sector,industry,forum
US,Topics,NYSE,"Agilent Technologies, Inc.",A,20221230 222822,,"{'company': ['Agilent Technologies, Inc.'], 'details': ['Agilent Technologies', 'Agilent', 'Agilent CrossLab'], 'execs': ['Michael McMullen', 'McMullen']}",Healthcare,Diagnostics & Research,"{'messageBoardId': 'finmb_154924', 'uuid': '7fc56270-e7a7-3fa8-9a59-35b72eacbe29'}"
US,Topics,NYSE,Alcoa Corporation,AA,20221230 222822,,"{'company': ['Alcoa Corporation'], 'details': ['Alcoa World Alumina and Chemicals', 'Bauxite', 'Alumina', 'Alumina Limited', 'AWAC', 'Alcoa'], 'execs': ['Roy Harvey', 'Harvey']}",Basic Materials,Aluminum,"{'messageBoardId': 'finmb_369991357', 'uuid': '3b98e2df-fc6c-306a-89dc-b0d5c60a0206'}"
US,Topics,NASDAQ,American Airlines Group Inc.,AAL,20221230 222822,,"{'company': ['American Airlines Group Inc.'], 'details': ['American Airlines Group', 'American Airlines', 'PSA Airlines', 'Envoy Aviation Group', 'Piedmont Airlines', 'American Eagle'], 'execs': ['Robert Isom', 'Isom']}",Industrials,Airlines,"{'messageBoardId': 'finmb_168569', 'uuid': 'b73d98bf-8d5e-382f-9d49-b84d8f52f152'}"
US,Topics,NYSE,"Advance Auto Parts, Inc.",AAP,20221230 222822,,"{'company': ['Advance Auto Parts, Inc.'], 'details': ['Advance Auto Parts', 'Autopart International', 'Carquest', 'Worldpac'], 'execs': ['Thomas Greco', 'Greco']}",Consumer Cyclical,Specialty Retail,"{'messageBoardId': 'finmb_24333', 'uuid': 'e77e78f9-7896-3fa1-acee-885058f2c91a'}"
US,Topics,NASDAQ,Apple Inc.,AAPL,20221230 222822,,"{'company': ['Apple Inc.'], 'details': ['Mac', 'AppleCare', 'Siri', 'iPad', 'iPhone', 'Apple', 'HomePod', 'macOS', 'iOS', 'iPadOS', 'Apple Home', 'iCloud', 'Apple TV', 'Apple TV+', 'Apple Watch', 'iPod', 'AirPods', 'AirTag', 'AppStore'], 'execs': ['Timothy Cook', 'Cook', 'Tim Cook']}",Technology,Consumer Electronics,"{'messageBoardId': 'finmb_24937', 'uuid': '8b10e4ae-9eeb-3684-921a-9ab27e4d87aa'}"
US,Topics,NYSE,ABB Ltd,ABB,20221230 222822,,"{'company': ['Abb Ltd'], 'details': ['Abb'], 'execs': ['Bjorn Rosengren', 'Rosengren']}",Industrials,Electrical Equipment & Parts,"{'messageBoardId': 'finmb_18527', 'uuid': '8c0d3987-4f72-3434-9b7a-1ba8e5063e84'}"
US,Topics,NYSE,AbbVie Inc.,ABBV,20221230 222822,,"{'company': ['AbbVie Inc.'], 'details': ['Skyrizi', 'Lo Loestrin', 'Ubrelvy', 'Rinvoq', 'Alphagan', 'Duodopa', 'Botox Therapeutic', 'Linzess', 'Duopa', 'Orilissa', 'Humira', 'Imbruvica', 'Venclexta', 'Vraylar', 'Mavyret', 'Creon', 'Lupron', 'Botox Cosmetic', 'Juvederm Collection', 'Synthroid', 'Lumigan', 'AbbVie', 'Restasis'], 'execs': ['Richard Gonzalez', 'Gonzalez']}",Healthcare,Drug Manufacturers—General,"{'messageBoardId': 'finmb_141885706', 'uuid': '73238d42-cdcc-3f92-8141-dd675addae10'}"
US,Topics,NYSE,AmerisourceBergen Corporation,ABC,20221230 222822,,"{'company': ['AmerisourceBergen Corporation'], 'details': ['AmerisourceBergen', 'Alliance Healthcare', 'Profarma Specialty', 'Innomar', 'Profarma'], 'execs': ['Steven Collis', 'Collis']}",Healthcare,Medical Distribution,"{'messageBoardId': 'finmb_24809', 'uuid': '902fbdd2-b1df-3c4f-b0b4-a5d23525e932'}"
US,Topics,NASDAQ,"Abiomed, Inc.",ABMD,20221230 222822,,"{'company': ['ABIOMED, Inc.'], 'details': ['ABIOMED', 'Impella LD', 'Impella', 'Impella CP', 'Impella 2.5'], 'execs': ['Michael Minogue', 'Minogue']}",Healthcare,Medical Devices,"{'messageBoardId': 'finmb_247589', 'uuid': 'a393224e-40ae-3cd2-a2c8-12a0912a9351'}"
US,Topics,NASDAQ,"Airbnb, Inc.",ABNB,20221230 222822,,"{'company': ['Airbnb, Inc.'], 'details': ['Airbnb'], 'execs': ['Brian Chesky', 'Chesky']}",Consumer Cyclical,Travel Services,"{'messageBoardId': 'finmb_115705393', 'uuid': '403113aa-7838-3345-9d32-d63a5f9da70b'}"
